Study,Species common name,Species,Regne,Phyla,Classe,Ordre,Factor,Factor variation,Crossing/wild,Method,Type of h? (narrow / broad),comment,Which is stressful?,Stress (heat/acidity/drought/wet),trait,trait type (lht/morpho/physio/behav),error type,h? mild environment,se h? mild,range of CI mild,SE m,h? harsh environment,se h? harsh environment,range of CI harsh,SE h,error type,evolvability mild environment,se evolvability mild environment,evolvability harsh environment,se evolvability harsh environment,error type,Evol_Mild,Evol_Harsh,Va mild environment,se Va mild environment,Va harsh environment,se Va harsh environment,Vp mild,Vp harsh,mean mild,se mean mild,mean harsh,se mean harsh,ISSN,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,Early Access Date,UT (Unique WOS ID)
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,TC,drought,drought, Flowering,LHT,se,0.2209158,0.3968451,,0.3968451,0.05696225,0.453343,,0.453343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,TP,drought,drought, Flowering,LHT,se,0.1068142,0.3938896,,0.3938896,0.7258384,0.1403174,,0.1403174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,AT,drought,drought, Growth,LHT,se,0.6391747,0.1597117,,0.1597117,0.4601197,0.2315847,,0.2315847,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,AT,drought,drought, Runnering,LHT,se,0.4549853,0.2409086,,0.2409086,0.793894,0.08864803,,0.08864803,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,AT,drought,drought, SLA,Morphology,se,0.7157591,0.1257032,,0.1257032,0.2235659,0.3297812,,0.3297812,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,AT,drought,drought, Stomata,Morphology,se,0,0.4368227,,0.4368227,0.2292186,0.3273806,,0.3273806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,BV,drought,drought, Growth,LHT,se,0.3964915,0.6621284,,0.6621284,0.01540007,0.7146993,,0.7146993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,Bv,drought,drought, Runnering,LHT,se,0.6219235,0.4138814,,0.4138814,0.3296023,0.4901776,,0.4901776,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,BV,drought,drought, SLA,Morphology,se,0.7902533,0.2295168,,0.2295168,0.7212057,0.2040116,,0.2040116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,BV,drought,drought, Stomata,Physiology,se,0.6088544,0.4281735,,0.4281735,0.4945227,0.3699023,,0.3699023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,F,drought,drought, Growth,LHT,se,0,1.121389,,1.121389,0.8214413,0.1413043,,0.1413043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,F,drought,drought, Runnering,LHT,se,0.6691852,0.3712815,,0.3712815,0.5488969,0.3571672,,0.3571672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,F,drought,drought, SLA,Morphology,se,0.90574,0.1054109,,0.1054109,0.4748292,0.4158263,,0.4158263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,F,drought,drought, Stomata,Physiology,se,0.1173633,0.9956116,,0.9956116,0.5660151,0.3433833,,0.3433833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,G,drought,drought, Growth,LHT,se,0,0.5316304,,0.5316304,0.1736716,0.4956021,,0.4956021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,G,drought,drought, Runnering,LHT,se,0.04170971,0.5111671,,0.5111671,0.6631302,0.2042777,,0.2042777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,G,drought,drought, SLA,Morphology,se,0,0.5316304,,0.5316304,0,0.5927504,,0.5927504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,G,drought,drought, Stomata,Physiology,se,0,0.5316304,,0.5316304,0.4714963,0.3198454,,0.3198454,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,LC,drought,drought, Growth,LHT,se,0.2494176,0.4305095,,0.4305095,0,0.5574946,,0.5574946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,LC,drought,drought, Runnering,LHT,se,0.4680074,0.3072726,,0.3072726,0.6665691,0.1897675,,0.1897675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,LC,drought,drought, SLA,Morphology,se,0.5792488,0.2434324,,0.2434324,0.8381003,0.09209459,,0.09209459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,LC,drought,drought, Stomata,Physiology,se,0.4466565,0.3192128,,0.3192128,0,0.5574946,,0.5574946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,ML,drought,drought, Growth,LHT,se,0.5342169,0.2304509,,0.2304509,0,0.8012545,,0.8012545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,ML,drought,drought, Runnering,LHT,se,0.9007512,0.04901113,,0.04901113,0.9056691,0.07651994,,0.07651994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,ML,drought,drought, SLA,Morphology,se,0.2882123,0.3498302,,0.3498302,0.7728022,0.1846802,,0.1846802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,ML,drought,drought, Stomata,Physiology,se,0.1725021,0.4045567,,0.4045567,0.3603401,0.5219606,,0.5219606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,PN,drought,drought, Growth,LHT,se,0.7293844,0.1637933,,0.1637933,0,0.4977806,,0.4977806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,PN,drought,drought, Runnering,LHT,se,0.7043473,0.1789653,,0.1789653,0.3572779,0.3257542,,0.3257542,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,PN,drought,drought, SLA,Morphology,se,0.8599248,0.08469489,,0.08469489,0,0.4977806,,0.4977806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,PN,drought,drought, Stomata,Physiology,se,0.3283605,0.4067722,,0.4067722,0.1450267,0.4291937,,0.4291937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,SQ,drought,drought, Growth,LHT,se,0.494422,0.2255467,,0.2255467,0.5720805,0.1857608,,0.1857608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,SQ,drought,drought, Runnering,LHT,se,0.8501661,0.06684548,,0.06684548,0.8854646,0.0496836,,0.0496836,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,SQ,drought,drought, SLA,Morphology,se,0.7518845,0.1108483,,0.1108483,0.6629444,0.1464036,,0.1464036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,SQ,drought,drought, Stomata,Physiology,se,0.3606011,0.2842605,,0.2842605,0,0.4270728,,0.4270728,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,SX,drought,drought, Growth,LHT,se,0.5739996,0.2634132,,0.2634132,0.1643472,0.4859594,,0.4859594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,Sx,drought,drought, Runnering,LHT,se,0.8397171,0.0988965,,0.0988965,0.636421,0.212641,,0.212641,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,Sx,drought,drought, SLA,Morphology,se,0.2210003,0.4764093,,0.4764093,0,0.5775252,,0.5775252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,Sx,drought,drought, Stomata,Physiology,se,0.6305022,0.2284416,,0.2284416,0,0.5775252,,0.5775252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,TC,drought,drought, Growth,LHT,se,0,0.5022005,,0.5022005,0.1185849,0.4259486,,0.4259486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,RC,drought,drought, Runnering,LHT,se,0.6874209,0.1603813,,0.1603813,0,0.4777045,,0.4777045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,TC,drought,drought, SLA,Morphology,se,0.6977675,0.1549579,,0.1549579,0,0.4777045,,0.4777045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,TC,drought,drought, Stomata,Physiology,se,0,0.5022005,,0.5022005,0.2973108,0.3441753,,0.3441753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,TP,drought,drought, Growth,LHT,se,0.2539481,0.3308718,,0.3308718,0.2861836,0.3624678,,0.3624678,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,TP,drought,drought, Runnering,LHT,se,0.7035787,0.1322677,,0.1322677,0.7483979,0.1286583,,0.1286583,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,TP,drought,drought, SLA,Morphology,se,0.4689429,0.2365912,,0.2365912,0.006826679,0.4982156,,0.4982156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,TP,drought,drought, Stomata,Physiology,se,0.6367168,0.1621321,,0.1621321,0.1193397,0.4438696,,0.4438696,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Annual phlox,Phlox drummondii,Plantae,Angiosperm,Eudicots,Ericales,drought,Lab experiment,"half sibs by crossings, 7 populations",Variance among maternal families,broad sense,Data from 4 time points,drought,drought,Nectar volume,Physiology,se,0.76,0.61,,0.61,0.25,0.56,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Annual phlox,Phlox drummondii,Plantae,Angiosperm,Eudicots,Ericales,drought,Lab experiment,"half sibs by crossings, 7 populations",Variance among maternal families,broad sense,Data from 4 time points,drought,drought,Nectar volume,Physiology,se,0.95,0.55,,0.55,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Annual phlox,Phlox drummondii,Plantae,Angiosperm,Eudicots,Ericales,drought,Lab experiment,"half sibs by crossings, 7 populations",Variance among maternal families,broad sense,Data from 4 time points,drought,drought,Nectar sugar amount,Physiology,se,0,0,,0,0.55,0.6,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Annual phlox,Phlox drummondii,Plantae,Angiosperm,Eudicots,Ericales,drought,Lab experiment,"half sibs by crossings, 7 populations",Variance among maternal families,broad sense,Data from 4 time points,drought,drought,Nectar sugar amount,Physiology,se,0.59,0.5,,0.5,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Annual phlox,Phlox drummondii,Plantae,Angiosperm,Eudicots,Ericales,drought,Lab experiment,"half sibs by crossings, 7 populations",Variance among maternal families,broad sense,Data from 4 time points,drought,drought,Petal length,Morphology,se,0.87,0.55,,0.55,0.17,0.56,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Annual phlox,Phlox drummondii,Plantae,Angiosperm,Eudicots,Ericales,drought,Lab experiment,"half sibs by crossings, 7 populations",Variance among maternal families,broad sense,Data from 4 time points,drought,drought,Petal length,Morphology,se,0.92,0.6,,0.6,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Annual phlox,Phlox drummondii,Plantae,Angiosperm,Eudicots,Ericales,drought,Lab experiment,"half sibs by crossings, 7 populations",Variance among maternal families,broad sense,Data from 4 time points,drought,drought,Corolla length,Morphology,se,0.2,0.49,,0.49,0.13,0.71,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Annual phlox,Phlox drummondii,Plantae,Angiosperm,Eudicots,Ericales,drought,Lab experiment,"half sibs by crossings, 7 populations",Variance among maternal families,broad sense,Data from 4 time points,drought,drought,Corolla length,Morphology,se,0.37,0.47,,0.47,0.2,0.64,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Drummond's rockcress,Boechera stricta,Plantae,Angiosperm,Eudicots,Brassicales,drought*nutrient,Lab experiment,full sibs,animal model,broad sense,"H? not h?, nutrient*drought (rain affects nutrient) keep moderate * un stress, could rerun models to get Va estimates, pedigree and data files available",drought,drought,relative growth rate,LHT,95% CI,0.275,[0.096; 0.465],0.369,0.094132653,0.293,[0.107; 0.498],0.391,0.099744898,,,,,,,,,,,,,,,,,,,0002-9122,2020,107,2,308,318,,10.1002/ajb2.1417,,WOS:000517463600014
11,Drummond's rockcress,Boechera stricta,Plantae,Angiosperm,Eudicots,Brassicales,drought*nutrient,Lab experiment,full sibs,animal model,broad sense,"H? not h?, nutrient*drought (rain affects nutrient) keep moderate * un stress, could rerun models to get Va estimates, pedigree and data files available",drought,drought,Fecundity,LHT,95% CI,0.138,[0.033; 0.258],0.225,0.057397959,0.174,[0.044; 0.314],0.27,0.068877551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Drummond's rockcress,Boechera stricta,Plantae,Angiosperm,Eudicots,Brassicales,drought*nutrient,Lab experiment,full sibs,animal model,broad sense,"H? not h?, nutrient*drought (rain affects nutrient) keep moderate * un stress, could rerun models to get Va estimates, pedigree and data files available",drought,drought,probability of breeding,LHT,95% CI,0.81,[0.565; 0.962],0.397,0.10127551,0.997,[0.994; 1],0.006,0.001530612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Drummond's rockcress,Boechera stricta,Plantae,Angiosperm,Eudicots,Brassicales,drought*nutrient,Lab experiment,full sibs,animal model,broad sense,"H? not h?, nutrient*drought (rain affects nutrient) keep moderate * un stress, could rerun models to get Va estimates, pedigree and data files available",drought,drought,Survival,LHT,95% CI,0.823,[0.457; 0.98],0.523,0.133418367,0.642,[0.321; 0.96],0.639,0.163010204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,eastern cottonwood,Populus deltoides,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,,floods,wet,Final height,Morphology,se,0.3,0.11,,0.11,0.3,0.12,,0.12,,,,,,,,,,,,,,,,,,,0829-318X,2020,40,1,19,29,,10.1093/treephys/tpz128,,WOS:000522853000003
12,eastern cottonwood,Populus deltoides,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,,floods,wet,Final diameter,Morphology,se,0.18,0.11,,0.11,0.15,0.11,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,eastern cottonwood,Populus deltoides,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,,floods,wet,Growth rate in height,LHT,se,0.34,0.11,,0.11,0.28,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,eastern cottonwood,Populus deltoides,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,,floods,wet,Growth rate in diameter,LHT,se,0.09,0.1,,0.1,0.03,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,eastern cottonwood,Populus deltoides,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,,floods,wet,Individual leaf area,Morphology,se,0.56,0.11,,0.11,0.43,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,eastern cottonwood,Populus deltoides,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,,floods,wet,Final leaf number,Morphology,se,0.45,0.12,,0.12,0.38,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,eastern cottonwood,Populus deltoides,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,,floods,wet,Leaf number increase rate,LHT,se,0.48,0.11,,0.11,0.24,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,eastern cottonwood,Populus deltoides,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,,floods,wet,Abcission rate,LHT,se,0.26,0.13,,0.13,0.32,0.13,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,eastern cottonwood,Populus deltoides,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,,floods,wet,Leaf senescence rate,LHT,se,0,0.01,,0.01,0,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,eastern cottonwood,Populus deltoides,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,,floods,wet,Stomatal conductance,Physiology,se,0.11,0.12,,0.12,0.29,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,eastern cottonwood,Populus deltoides,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,,floods,wet,Specific leaf area,Morphology,se,0.14,0.12,,0.12,0.31,0.13,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,eastern cottonwood,Populus deltoides,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,,floods,wet,Total dry weight,Morphology,se,0.21,0.13,,0.13,0.31,0.13,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,eastern cottonwood,Populus deltoides,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,,floods,wet,Root to shoot ratio,Morphology,se,0.11,0.12,,0.12,0.37,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,eastern cottonwood,Populus deltoides,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,,floods,wet,Root to leaves ratio,Morphology,se,0.12,0.12,,0.12,0.42,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,eastern cottonwood,Populus deltoides,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,,floods,wet,Carbon isotopic discrimination,Physiology,se,0.14,0.15,,0.15,0.49,0.13,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,eastern cottonwood,Populus deltoides,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,,floods,wet,Stomatal index,Physiology,se,0.27,0.18,,0.18,0.44,0.16,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Fr?mont's goldfields,Lasthenia fremontii,Plantae,Angiosperm,Eudicots,Asterales,ECE / flooding regime,Lab experiment,paternal half sibs,4*among sire variance,narrow sense,"Nina: dry, nino: wet, NO SE!! |north pop",dry,drought,reproductive success post germination,LHT,none,0.06,,,NA,1.54,,,NA,none,0.01,,0.49,,,0.01,0.49,,,,,,,,,,,1461-023X,2019,22,5,866,874,,10.1111/ele.13244,,WOS:000466402100011
13,Fr?mont's goldfields,Lasthenia fremontii,Plantae,Angiosperm,Eudicots,Asterales,ECE / flooding regime,Lab experiment,paternal half sibs,4*among sire variance,narrow sense,Central pop,dry,drought,reproductive success post germination,LHT,none,0.06,,,NA,1.46,,,NA,none,0.01,,0.95,,,0.01,0.95,,,,,,,,,,,,,,,,,,,,
13,Fr?mont's goldfields,Lasthenia fremontii,Plantae,Angiosperm,Eudicots,Asterales,ECE / flooding regime,Lab experiment,paternal half sibs,4*among sire variance,narrow sense,Southern Pop,dry,drought,reproductive success post germination,LHT,none,0.26,,,NA,2.42,,,NA,none,0.03,,0.47,,,0.03,0.47,,,,,,,,,,,,,,,,,,,,
13,Fr?mont's goldfields,Lasthenia fremontii,Plantae,Angiosperm,Eudicots,Asterales,ECE / flooding regime,Lab experiment,paternal half sibs,4*among sire variance,narrow sense,Northern pop,extreme wet,wet,reproductive success post germination,LHT,none,0.06,,,NA,0.54,,,NA,none,0.01,,0.05,,,0.01,0.05,,,,,,,,,,,,,,,,,,,,
13,Fr?mont's goldfields,Lasthenia fremontii,Plantae,Angiosperm,Eudicots,Asterales,ECE / flooding regime,Lab experiment,paternal half sibs,4*among sire variance,narrow sense,Central pop,extreme wet,wet,reproductive success post germination,LHT,none,0.06,,,NA,0.27,,,NA,none,0.01,,0.04,,,0.01,0.04,,,,,,,,,,,,,,,,,,,,
13,Fr?mont's goldfields,Lasthenia fremontii,Plantae,Angiosperm,Eudicots,Asterales,ECE / flooding regime,Lab experiment,paternal half sibs,4*among sire variance,narrow sense,Southern Pop,extreme wet,wet,reproductive success post germination,LHT,none,0.26,,,NA,0.81,,,NA,none,0.03,,0.09,,,0.03,0.09,,,,,,,,,,,,,,,,,,,,
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Las  Tablas,drought,drought,Growth,LHT,se,0.197,0.162,,0.162,0.398,0.234,,0.234,se,22.3,10,44.1,15.8,se,22.3,44.1,3.245,3.49,2.32,1.662,,,,,,,0829-318X,2019,39,3,427,439,,10.1093/treephys/tpy108,,WOS:000467968800009
14,Encino,Quercus oleoides,Plantae,Angiosperm,Eudicots,Fagales,watering regime,Lab experiment,maternal half sibs,between family variance,narrow sense,Las  Tablas,drought,drought,SLA,Morphology,se,0.236,0.177,,0.177,0.17,0.137,,0.137,se,5.5,2.3,4.9,2.2,se,5.5,4.9,32.27,27.37,26.42,23.31,,,,,,,,,,,,,,,,
